#nvpart(2)   Xc(3)   Yc(4)   Vmax(11)
18.39188636   32.75304280   27.70163490   56.38
23.32548813   34.14507064   31.08093307   18.55
21.18188494   33.79565603   37.38466881   13.47
17.13968397   33.71541481   33.07341124   17.92
18.90820959   32.09920441   27.74315192   19.83
21.42256734   33.59258673   37.53315444   16.24
15.63497485   32.20045277   30.01411303   17.16
18.97536714   29.30876178   35.33582453   20.39
17.87395341   32.78243681   27.71082168   17.88
20.92502203   33.08231815   37.81587861   17.47
22.37072702   29.07907945   27.04634313   14.12
19.28727390   31.83469053   39.29589260   20.49
20.60316431   31.91458622   37.92756378   14.47
23.27595453   34.28494549   35.96435313   13.44
20.40434116   31.92703787   31.73070543   38.57
22.94894771   34.33756246   32.93357723   17.47
21.55262725   30.14911909   34.17532074   12.16
19.92305883   26.81219941   31.96903730   18.10
10.32893913   46.12861310   21.24660908   176.03
16.92324899   33.32675949   36.05739482   21.70
19.94903307   33.48392868   38.93594421   13.03
15.46876543   31.26464520   31.54781394   21.14
17.74615680   33.77200971   29.45687915   12.94
21.87315628   32.69020173   32.13125160   14.36
21.72948537   32.71953379   32.29620889   16.71
17.12393778   32.17531016   29.39362786   11.11
20.28571548   31.69008314   37.82570361   13.53
21.24634868   33.51379835   37.63562024   18.91
20.27810357   30.66079961   26.87576347   15.26
17.82874080   34.23270980   27.04481907   53.18
16.36832455   30.14131123   31.04464308   14.19
21.62621142   34.45605459   37.55146174   21.60
19.28950115   33.64325519   39.91347112   29.12
19.61434113   27.43580755   30.65001877   17.46
21.69976547   33.69487073   26.38896130   17.26
18.94901957   31.79168955   27.86455311   21.67
21.06610144   32.92189707   37.66298504   21.24
20.30199286   31.92284345   31.06408352   12.93
20.51517662   30.74633151   38.14163453   27.00
17.98318243   32.09157362   28.23019092   15.38
20.85860432   34.48073845   28.43408388   31.37
21.87425142   34.34545136   37.59268895   13.31
17.66453958   32.53912187   28.12570225   13.35
18.65683862   28.80102459   36.80216700   12.65
19.19093449   35.95135936   38.66918458   15.72
22.24459561   32.78769175   31.65596779   12.92
21.43581993   31.90430747   34.31024123   16.05
25.71632873   34.92403817   32.13276896   14.41
21.80763154   27.55787974   34.67431075   19.62
21.16154223   29.06153861   38.31562047   15.83
14.46416586   44.43759233   15.56334463   150.54
20.93516187   29.29518914   30.42813578   14.81
19.50639677   33.82643178   39.49271679   13.33
14.44973443   33.48140571   31.35718721   23.01
16.91464297   32.98583744   28.09942167   11.74
24.44894618   34.58652673   27.00509985   15.11
20.24146897   30.52198166   26.76092999   13.30
21.77313653   31.94527527   34.88757552   14.77
21.36065651   33.30862552   36.22189265   17.05
18.80132014   32.05338943   27.75708145   17.70
22.21482643   32.96808831   34.27249323   18.29
21.22205578   32.62443949   36.90682384   15.24
17.35541598   33.67567722   37.20538068   20.35
20.44448596   27.74509694   38.98165468   24.69
16.08760109   31.66114676   30.81737454   10.00
17.51839687   31.92178289   29.22789184   12.95
17.97592137   32.88575546   28.18385191   17.74
21.06861855   27.15956362   34.65899797   52.69
17.16840502   33.75883097   32.85253780   18.71
18.39773899   33.14477704   28.61481832   17.64
21.22187111   30.68736974   24.60758211   83.08
22.30518887   34.62821876   38.08554083   15.89
22.33515240   34.52999743   37.79362656   21.20
20.32065730   28.88122783   38.08214185   13.28
23.83753565   34.64447433   33.96751220   10.22
20.00413798   33.57416166   38.73277002   17.93
17.18728996   36.69398130   35.11415727   11.81
24.51518043   34.70652801   27.05558559   12.20
21.31576675   28.10516032   35.05297871   12.85
22.77329590   34.80046826   37.58185596   11.63
20.27175911   30.62317837   38.05773198   10.17
25.30234746   34.97405175   26.87634618   29.83
17.07371984   36.11682400   35.42330731   13.51
17.61171049   36.00323414   28.67159038   12.45
21.11115999   32.73126610   36.98899837   13.32
21.61440765   32.45381207   30.88991215   16.60
26.48373543   33.98497466   38.44102579   31.78
19.65263136   30.78230122   27.08142928   9.48
26.34602437   34.71231746   29.40890907   45.25
15.05820418   33.37636086   30.76482126   12.18
19.97816884   30.02836814   26.92657476   9.29
25.83912288   35.05227402   28.49063234   16.62
18.41129589   32.77699224   28.08978474   28.48
19.24701777   34.28039261   40.27719677   14.08
21.16462735   34.59789501   28.34588935   12.67
18.19485555   27.81909641   32.54865718   14.54
17.38665227   34.05105106   32.45863552   11.86
19.97730766   30.15855126   26.88844722   11.93
21.76505771   29.51356122   28.20021920   12.16
18.96152822   31.64484142   39.62723084   67.77
20.24769589   29.95693182   38.59516542   13.09
21.54960972   27.92615139   30.76128701   12.45
20.24480120   33.66076208   37.65361150   12.14
22.93575395   34.18862433   32.70409009   19.83
15.62787138   44.28477749   25.48728560   111.18
23.11907613   29.57564287   26.12765913   23.69
21.06312365   33.67662526   37.43847664   9.07
21.11836900   29.42162710   36.11063565   14.33
20.52819375   35.98972840   27.37422672   9.58
23.37948103   34.33684569   35.57929892   16.72
21.42889325   29.20969131   34.14823525   9.69
21.56661292   32.91713188   30.86356119   15.78
22.92483123   34.19381181   30.01653485   18.53
20.84794166   34.60716965   28.22880966   8.40
19.44077612   32.02243614   28.14130293   14.80
24.80331960   34.68152801   29.79826605   14.43
18.58691150   31.83912554   27.60808404   9.75
20.73525458   30.45810640   25.62836317   19.73
19.50350180   28.51560135   39.80637522   22.22
18.68708055   29.00616259   36.06126316   11.94
21.02285496   27.92424959   34.08915158   15.72
20.10765230   31.12863373   32.32333580   15.23
20.69903559   29.71426039   38.79730734   11.05
18.02798940   27.13897377   33.17693015   33.29
16.98152717   33.95150607   28.05555449   10.43
17.25457468   37.15060859   35.29462985   11.35
20.96903093   28.58300196   31.66702271   10.37
28.48043874   34.80379429   31.04528834   9.44
23.42673670   28.69097033   30.49742882   9.69
22.01905642   33.66485491   29.86737883   15.79
19.96230993   30.08873456   30.96951761   15.09
21.66354852   38.09913247   37.72748479   12.83
22.23153714   28.96702463   30.09878287   13.99
18.29789724   29.58950287   30.23371641   10.41
23.23703201   35.29939570   36.52357686   12.04
18.61562693   32.09076674   27.62031479   12.42
18.42182049   33.53943409   28.03829504   18.55
20.79121969   30.39911190   25.17123201   16.25
15.68305984   33.11720887   29.80833435   9.31
22.11314981   29.31663391   27.42084317   11.04
19.98383680   32.12773430   29.02228457   7.55
21.17526386   33.72779596   37.17894564   11.99
20.22567639   30.74945856   26.73007939   11.52
25.14269062   37.85386456   32.74054088   11.34
21.30035662   30.98611320   31.42071766   8.32
20.29319915   29.44608801   26.56492556   15.52
21.19053756   33.89804153   36.48156505   11.31
20.55302910   34.78294980   28.19297936   7.99
33.24834382   39.51351155   15.22283779   121.93
20.16241018   29.82510309   38.40293994   5.75
17.29309338   32.70000675   28.18897893   8.34
20.18888009   33.30470369   38.74374248   9.47
19.55520773   32.01642833   28.09469060   14.28
17.20620645   34.48792629   27.39076497   14.86
21.79550836   31.90823660   34.57041163   6.81
21.60968538   32.49874039   30.98707260   10.18
18.22630365   33.91991456   37.38407493   11.41
21.99069224   32.55828781   32.52088579   8.49
20.21992490   31.93064883   30.41526398   15.20
21.63540430   32.08709915   33.46271246   17.01
21.30528721   33.59375513   37.35554061   7.89
16.54279522   33.61122613   28.35696076   7.18
21.58762923   33.97915794   37.41482814   12.92
21.61764575   40.87707287   14.65944714   108.26
18.20556655   36.88813282   28.63109694   32.96
19.73464392   37.09943732   26.27716840   21.72
24.05516614   34.63373660   30.09737171   7.28
18.61346000   33.01594967   27.72133667   22.42
16.71887562   32.78903251   29.37122533   13.42
21.62730992   34.44259237   28.70876195   11.47
20.41822143   35.97201903   27.12124955   8.78
19.78511819   30.40873037   26.30053842   13.14
2.29153638   6.33771215   61.59933452   95.34
24.56593358   35.09664625   30.03942961   14.17
19.64712227   31.29212208   27.34730376   8.88
20.36259968   28.13069426   31.17557126   5.98
21.12585445   33.93364375   28.90887241   7.94
19.94755188   32.99788086   28.91334023   12.51
22.30643168   32.88879176   36.78963033   14.55
21.59388815   33.94867620   37.02141850   7.12
17.78770610   31.77514137   29.37027979   13.52
22.44873878   32.40818851   30.57740956   7.53
21.62805757   28.68657560   35.32906546   9.16
6.40575241   30.90409725   46.19799524   98.89
16.96579192   33.60389757   32.45021880   11.06
26.46969397   27.97151601   30.63432459   9.83
16.80361388   32.18528498   38.09071637   16.36
18.55566585   27.94371690   35.27395729   8.61
20.49962841   30.09418620   29.66907708   11.71
22.49053363   34.04813635   28.69849593   11.80
18.29053196   29.11838511   30.73862844   9.06
20.20372588   31.39519495   26.14720503   19.69
18.78439870   29.08201056   35.98372015   9.41
19.58587108   32.09889379   27.74400399   12.10
17.04732175   33.32965708   28.74575420   13.39
18.79245880   32.91130720   28.42485879   48.87
20.15971840   31.51169278   28.84631875   8.67
16.93432693   32.25450003   34.04434593   7.05
20.54716376   43.26026210   31.50801808   101.86
19.07495407   36.35616522   38.58763949   22.24
27.57363280   33.86706116   29.51994210   10.06
19.18990121   31.72902622   39.32788021   14.64
19.49444281   31.43983316   27.02706022   9.62
21.04555438   27.97839420   33.62128589   9.15
19.40083013   28.17742847   28.91611252   6.89
16.81443893   33.67982487   28.31230256   7.84
21.36706024   28.41803782   32.33984074   9.52
20.04424164   33.16544792   39.52661211   8.58
21.43773414   33.45649457   37.34846189   5.07
21.89635009   33.28310166   34.72998792   12.61
21.37297542   34.07549890   37.10330087   9.81
19.91972970   32.96559439   36.01232382   10.51
16.86960191   34.10144972   27.15004459   11.56
16.95649525   31.85640164   31.23700372   11.58
18.89259907   28.63988285   37.25544803   7.36
21.72325535   29.43865068   28.19018636   22.83
21.17618166   33.28158771   35.30035526   15.16
21.07568353   30.32106684   30.43404848   9.69
16.82178866   33.48569502   29.16044082   11.77
22.03958514   33.87661830   30.37144503   6.56
20.51263257   34.93816959   28.11282625   10.80
20.19125932   30.78754627   26.51376805   7.19
21.48242618   33.32177908   37.88280481   9.83
17.94273106   35.89670397   32.07571945   8.14
20.16625842   35.66311646   37.66476199   9.95
20.99822779   29.71768158   29.27160390   24.05
24.47938745   34.89380852   30.07990332   10.73
21.89102861   37.24207302   29.69279688   9.15
19.91804720   31.93268693   28.72578326   8.62
18.41556266   32.72681072   27.68368080   15.93
17.11227785   33.35013450   28.63504822   9.62
21.73768667   29.52809589   34.35239140   9.55
20.92323792   38.04430115   37.68605270   20.74
22.93320128   34.82326340   37.83722002   7.30
20.88970962   26.93703641   34.56834399   7.31
19.99187144   30.99581265   29.19468831   7.65
22.63356018   29.02750145   30.30637312   15.51
21.27227654   28.09414935   33.77296461   11.47
29.54960328   34.86323730   30.53302267   24.65
20.01070241   30.09159420   26.61483128   9.26
21.38201866   27.50293269   33.31135658   11.67
20.93119311   29.59400225   30.18843132   5.46
21.04396941   33.55653914   37.44161168   8.70
21.16353193   25.85358405   32.65832643   10.34
22.32566352   32.79028540   33.63485402   4.54
22.00153715   31.51068876   36.78038059   11.77
20.99166473   34.20185001   36.97409845   7.28
22.61308090   32.74147354   31.58229538   8.70
17.46262184   33.86250153   31.06758514   8.22
21.04901250   34.34411969   28.80427388   8.13
19.81352067   25.92876068   32.79828136   10.40
20.93814356   26.39466684   33.29289920   8.64
22.31269768   28.09986725   34.02999313   10.37
23.34643441   34.14253305   35.94489180   11.49
18.78324248   37.08504476   34.97522818   6.95
21.09252339   28.45677745   35.26298744   10.36
19.09780665   32.59826938   28.25382682   10.33
19.84109824   27.88135814   39.79472877   20.78
20.13037731   36.61740171   26.96759181   10.17
20.46139577   30.60811519   37.98951446   12.27
18.63005014   31.38881465   28.80132460   10.97
15.00443070   34.91194295   36.55603991   31.52
17.63570015   36.66038807   35.31161782   11.57
19.90755051   33.17354403   37.69568265   11.29
21.05386477   30.31231947   25.04896119   17.13
20.10505542   27.42765913   37.08155035   6.26
20.89681163   27.24058529   33.08366688   10.24
20.89483450   32.19527654   35.04958730   5.10
18.54657188   32.45453590   27.88685575   32.94
20.85217544   29.47224296   30.16944432   14.56
21.00621782   29.50579015   36.26644928   4.58
21.53053474   34.01883745   37.70675468   10.45
20.86821081   26.36559670   34.35684890   5.53
19.79614107   30.26289553   27.03563928   10.16
20.99063198   33.25979539   37.49733922   4.78
20.27069829   29.86996492   26.89566746   10.45
19.42473335   24.70860867   34.58776397   17.38
21.69122442   31.39086923   34.94075865   11.08
16.39270468   31.73031896   30.61506899   7.39
18.05325014   34.81465477   38.55124746   12.02
22.21980058   33.34286410   30.18783749   6.80
20.16439357   30.87814148   29.27407431   6.66
21.89770878   32.67090510   32.87160887   5.40
20.87466850   33.58211809   37.62343024   4.68
25.38809377   33.79882870   39.04957861   13.57
18.22901413   34.30632387   37.41274428   10.71
22.55840155   17.20177534   43.92881277   75.54
19.21504327   29.67133713   34.61886668   10.36
17.54931990   31.12266546   28.44297617   7.60
18.43277947   34.22318943   27.00816315   11.34
20.25488823   29.70960298   38.50044663   11.11
56.24939320   13.25451943   5.20626709   90.95
21.90962459   29.03293528   30.36608185   7.95
19.52990318   26.99517290   30.82832687   8.10
18.24427207   36.69722927   28.50581585   10.13
16.25524633   32.75537533   29.69184408   8.29
21.10880374   28.99630423   25.46608109   15.39
20.42796063   33.20647414   37.79632403   9.39
20.85310522   26.82213090   33.68290389   8.34
24.76146908   36.58278603   28.63746860   7.03
19.90536399   33.54070247   38.70009598   7.49
21.34858834   33.32689950   37.52611694   9.49
21.18198973   34.55358543   29.04508282   8.79
24.46910493   36.94543487   33.95361395   25.93
21.41301015   31.85472880   34.27477583   8.49
18.17564572   32.93401101   42.78685305   67.15
19.86299946   26.10596065   33.43340534   6.93
17.59828469   36.09311046   26.13496549   15.45
23.63292408   34.17425172   30.00661942   11.25
16.94210784   33.60238480   28.46270824   8.68
19.57349904   30.03760961   33.69061220   6.24
25.97266842   28.76994543   30.77906040   7.83
20.16887877   30.65885444   38.05798365   5.66
19.57640421   29.72583890   26.42128568   6.37
21.67584737   32.41912945   32.99050585   5.27
22.13026983   33.06363482   32.36049051   14.06
21.62566392   33.16532701   29.76107400   11.80
17.40400146   33.60566695   30.86681847   14.47
23.99387214   40.08850867   14.60768339   85.71
17.44514647   33.69219034   31.16826144   5.85
16.71363561   33.84221362   28.35457281   4.58
19.58864464   30.43428629   27.29520686   7.05
20.08985317   33.24412894   39.41775537   6.31
21.34494499   29.64026962   28.50303968   5.16
23.69477009   35.84125402   36.10859663   11.89
15.95848283   33.18687701   30.00310185   8.63
19.43236076   30.79897789   27.90748932   17.87
17.50117378   34.13303604   34.49344657   10.20
23.28318427   34.10238353   36.74930555   8.08
15.74433926   33.96391157   29.44785748   6.46
24.95407918   39.24152733   35.29580706   8.43
19.85519597   29.80458263   25.63269999   9.66
22.13925694   34.86875157   39.51745517   6.50
20.22947366   29.60662959   27.20593916   6.98
24.17786440   35.57845792   33.67957620   9.54
21.79878321   33.37315492   29.53192756   5.96
20.94590833   29.37895593   30.29552303   7.53
17.06529565   35.74347793   35.58428489   4.35
16.64343079   34.80074394   34.73551772   11.72
17.20906576   34.40072233   27.75316312   5.12
26.16608232   27.46156619   31.34799525   10.36
20.28725366   29.73099579   27.00375696   7.64
21.65691693   32.44964776   33.22760235   5.40
24.50266185   28.70337934   31.64080260   10.15
18.86325624   31.44942221   27.30022764   6.18
23.01470914   34.50773190   33.51014890   12.17
16.76739361   33.31247092   28.31865503   10.49
20.51978792   30.43606195   38.35282542   7.38
21.81802835   27.49671333   34.61755516   13.24
22.68924135   32.93041726   30.85722848   13.14
18.33804004   29.15670560   34.22368956   7.01
22.09671255   29.11944626   27.42152834   8.69
18.57253499   33.37173643   27.38365442   10.88
17.32167286   34.05716431   32.79046082   5.85
16.36185072   30.17148523   31.08447210   20.10
21.58662129   29.53267797   28.49254918   5.92
23.02248228   34.26969318   29.58989846   8.22
20.47603984   30.05585174   38.32230373   6.02
24.99099376   38.39219705   14.51930271   82.43
24.63240569   37.47352887   35.10059327   9.41
18.10932924   35.31624828   26.03443423   30.12
21.09542224   28.61509160   35.32435141   8.09
21.86693721   33.07447688   31.78026856   7.84
20.22681974   30.31933506   26.76445899   7.65
21.17655087   27.64088462   35.21490127   39.36
22.39425646   33.83634146   30.11598445   5.15
19.96113504   32.49243406   28.99389343   4.72
23.20506622   34.31349548   29.57993001   8.96
22.76290006   34.18606797   36.77377717   14.40
18.20052950   31.52275688   39.27817636   53.65
21.25362805   28.93547607   35.67456685   5.08
20.36940402   31.91570512   32.57258664   9.70
17.00095887   33.90188792   28.12734558   4.90
23.28485774   34.29842624   35.99642321   11.69
21.92301954   34.81547154   28.34459547   10.63
20.09391732   28.67292403   38.68154397   12.72
21.78347224   28.57910637   39.09576272   6.10
16.25630447   30.33964461   31.12782232   8.62
19.68772469   28.14613848   28.75646344   10.00
19.80940285   32.46429186   38.19436045   8.12
20.09734631   33.42977554   39.25251567   6.16
20.86420255   29.83630452   36.25175665   7.82
17.20752494   34.68949409   27.58024383   8.99
23.93134156   35.03887064   38.34428439   7.31
20.66228228   34.43105017   27.78097157   10.89
21.62077399   33.74379247   35.00818160   7.52
16.80757024   36.16825348   35.10998681   6.30
22.57134667   28.94500519   26.63946898   7.93
21.15019739   28.83636106   30.47261364   12.45
21.67668319   33.79075782   29.82195290   8.38
21.55977877   32.97257987   30.76818691   7.74
21.21018975   27.96366365   34.87762983   5.04
20.06899555   32.32512847   28.84070272   6.43
24.31760750   37.17264175   31.17015114   6.66
21.07189486   28.48309108   30.81704606   10.39
19.73053779   31.09448897   26.97281960   10.26
21.17172358   32.41970198   36.34873417   10.29
20.61863076   29.64350855   38.71624730   5.12
20.64332749   30.14425298   29.70562580   7.77
21.19438910   34.56494558   28.31570535   12.88
6.34246057   31.28247570   45.54164782   80.06
25.80972339   34.96508397   32.10494540   13.58
52.44213090   41.68016834   24.40587186   76.30
21.51343576   28.64088348   30.27466649   6.65
20.79385665   28.84107493   31.17733430   7.48
19.29578868   30.96015200   27.66120467   10.10
23.82236991   39.73971367   14.33214748   70.51
20.53639406   33.48834590   37.86569800   6.98
17.37489180   34.05914882   32.35668413   10.04
25.72881822   35.76955558   39.25281889   7.49
26.69125711   34.98986832   31.72161646   10.26
22.27078569   34.68889532   38.03378546   6.93
21.95430171   32.04994780   34.35323309   9.09
24.29157455   34.28951695   31.23615984   6.98
17.47353833   31.66389290   29.43090623   9.51
20.12336915   30.64527328   29.31620659   6.56
21.92507535   32.69148515   31.72122286   5.48
25.12207295   34.17257214   37.34874153   6.81
28.86568509   34.59148327   29.32652626   24.12
19.84155092   26.34020596   32.88975685   5.72
18.59777959   34.17252656   38.44937610   7.87
22.41626144   34.94078384   38.19167267   8.40
19.72248987   30.96595101   29.23014826   9.91
17.51426212   37.32060328   28.10812725   7.63
21.04750995   33.54370654   37.38698257   6.21
19.40395811   33.24135583   33.56157155   4.58
20.91352243   26.58712106   34.09154711   9.60
11.73558813   29.29758983   47.34034083   83.47
21.96609354   34.53782122   32.59252262   9.26
20.89125076   33.47208564   38.54699907   7.13
19.89218140   30.20722382   26.55672343   4.75
20.50063774   30.45653788   26.19956131   5.00
23.49952690   34.38967984   35.02877093   5.27
25.18413777   36.60791902   28.80335317   6.30
21.15383966   30.76524262   31.00474322   16.03
24.08565852   34.02287661   25.65514733   69.26
20.62768866   31.00552249   24.95686341   7.60
18.82265538   32.38078937   40.14649649   6.04
18.83300447   31.33281052   27.31683483   4.80
27.48932696   34.27500836   32.67292763   5.57
19.95584746   29.91696444   26.88062117   5.39
27.61024395   34.34861041   32.21409726   7.33
19.00269705   31.45091887   27.56665864   6.72
19.84387467   30.20047842   26.44280971   9.09
28.63522927   33.99490770   14.59241736   70.39
20.82395638   32.95387127   37.18330242   8.84
20.73137953   26.25493945   33.69691657   13.32
18.99098121   31.56894415   39.60601906   9.54
18.61430730   32.92597627   27.79209216   4.51
26.74652879   34.21510070   32.71144766   11.18
19.70809968   26.79008024   31.70931287   13.50
19.94196021   30.60330078   27.25964168   6.16
20.40413570   28.14864213   31.18163150   13.50
19.53039198   31.22331817   26.76727630   5.16
20.09450645   33.27418598   38.73463781   4.76
20.03901591   29.05096536   38.34642258   6.81
16.93678882   32.49872104   34.26567208   7.07
17.04796903   33.49011043   28.51361802   5.21
24.27343487   38.75265634   30.52766079   11.99
15.71790749   32.67364739   30.57567192   7.87
21.56690180   28.83613833   34.59899355   9.62
16.61510032   33.68660456   32.50949377   8.76
20.22010880   31.92071317   30.18196814   5.49
28.03118744   36.03488444   32.11519791   5.99
25.19110153   34.78827792   28.75894967   12.23
21.29164146   37.65813013   37.74833835   5.32
25.78116268   36.15971831   29.47098329   6.73
18.27073141   28.19009115   31.96646009   12.54
16.99356875   33.86320099   28.38204604   3.79
21.64967664   30.34444505   33.84798756   7.85
59.35652841   17.35214382   6.20170684   84.84
20.29033341   33.42785157   38.77702515   4.39
19.95840459   30.08111503   26.83360718   5.43
22.02679453   28.56356229   35.16819217   6.40
19.17381349   37.13884385   34.42007897   6.88
16.90812645   33.40236809   28.47693923   5.55
26.35406316   37.76366847   28.08980323   22.87
19.10245053   32.04202170   27.83423207   7.72
19.58266234   29.83440221   26.84046554   5.73
21.04881000   33.07471640   37.08561499   6.95
2.44315562   5.13060923   57.57636515   72.39
16.45169250   33.63623604   29.47354937   7.60
25.74524422   28.69915509   30.86008197   11.77
19.63659876   30.66992877   26.92563604   6.27
25.94812241   31.38635446   28.23513956   9.84
19.79908857   27.97048698   37.66011381   8.40
24.73910760   28.23965563   28.40602713   10.16
17.49910056   34.23632141   37.07461057   6.47
18.97712894   32.72680641   28.23767742   6.64
59.52965617   19.83972577   5.73560292   70.01
14.66573250   33.35116537   30.92359169   11.43
20.43281281   30.32855775   38.71057841   8.58
17.28677112   31.78106682   29.70767647   7.17
22.14069905   34.85095148   38.14229834   5.80
15.28945426   33.29268048   30.61501540   29.19
17.86841428   33.52576379   27.29923477   9.98
19.23319229   29.69075299   34.51532194   9.44
24.94705037   35.52532643   38.65605873   6.08
20.39736050   28.40561329   27.82078107   10.67
20.62955156   32.96372558   37.49365903   9.18
28.10332743   25.47451580   22.66250055   68.34
24.90459557   37.08454428   28.37974119   8.69
16.83389431   32.84166667   29.33856801   8.75
20.36143759   28.71292496   30.95617487   6.50
15.97808094   33.29326115   29.20802183   7.06
20.01083445   28.86727172   28.20639348   9.91
20.90309948   26.42410483   34.22312369   6.92
26.36124460   34.74350945   29.39888215   9.42
28.39726929   34.87703973   31.03425778   9.49
17.79724890   36.36386096   25.94700417   22.83
20.71621482   28.24176762   38.74338976   9.61
25.07166122   35.54086968   29.85330235   7.15
15.81534255   31.24784947   38.56396439   27.57
21.47739435   28.63124222   35.42436024   5.25
2.72052308   60.02335016   48.08078344   60.21
15.65287725   32.32379133   29.94016541   4.21
19.62137159   29.99587681   27.54565401   5.92
19.52318232   32.49288501   28.22493182   7.50
22.20094603   34.90455119   40.11065349   6.32
3.35941346   24.03486447   58.37087969   72.04
18.64456977   32.42355092   27.99675846   5.51
21.15571381   29.78632957   36.36876498   5.09
24.30348420   26.79490676   34.93636731   9.47
18.43017405   31.71780905   27.78862352   9.54
24.52967849   34.98988396   39.72137278   8.13
16.84673450   43.31336640   15.07603117   87.13
21.51036828   30.54101156   29.16379728   6.99
21.68726836   38.19773551   37.61152833   7.38
17.75666413   33.62071708   29.33048035   6.97
20.86453946   29.72505393   36.50849226   7.13
23.40017308   34.97718830   38.25220439   6.66
19.38237656   31.62566298   28.27317348   4.59
18.66813074   28.83087485   36.74247428   8.70
21.43876922   34.49697327   28.84960918   10.09
21.04749462   33.43254002   37.63250053   3.61
23.88611884   34.98194830   38.37045995   8.53
20.14438125   30.72767165   37.97544227   4.30
16.76059617   34.73034907   36.48999610   7.31
43.67177944   49.04043017   34.42616568   74.31
18.41747409   26.23888928   30.85042562   9.09
23.18985645   31.08909119   27.76890317   9.53
29.48135777   36.48192777   50.32766132   73.27
21.71384390   34.09959658   37.83772018   8.58
17.69822034   29.57317988   35.66222842   8.69
24.17173907   34.44919784   30.12598436   11.77
26.05736070   32.80188096   37.81683337   16.04
21.19548713   29.32469835   31.54088406   8.71
23.52133308   33.92900927   31.08205516   6.97
19.29317015   33.94051686   40.09556701   7.16
20.50304697   29.92865376   26.48254735   5.05
18.01860123   35.16756441   26.80174813   10.35
20.32039304   30.24155191   27.10451540   9.96
20.27599987   33.59193089   38.43652105   5.81
24.19750511   34.85283519   33.55659871   8.71
19.91399566   30.34220105   26.74365764   6.37
17.16769199   34.55582889   36.72683537   7.73
20.13656840   30.43474234   26.51117164   4.02
21.85195278   27.54694735   34.70072755   20.98
20.35890267   28.20062220   30.98813464   6.10
22.10609152   34.50469455   37.22222353   11.95
19.21369949   28.51310565   29.85199848   6.70
20.58401830   32.43983752   29.16769244   6.21
18.37428628   31.83741775   27.50743145   11.72
16.93571787   34.76264207   35.31198423   9.53
20.01810108   27.11601475   37.17973693   13.77
22.22012568   33.39312057   33.05936984   3.67
19.52058051   34.07435950   40.15893921   15.01
23.44458023   32.87352398   25.54840435   16.91
13.94298635   32.11557009   33.09706611   20.46
17.48009187   34.02861170   32.32666478   8.80
21.19900603   25.76567890   32.61220527   12.72
20.13248345   32.20135003   28.65598232   6.38
17.79603310   29.57305150   36.77853592   8.33
25.65550631   34.72977846   32.29165441   5.53
19.78883246   32.43539020   28.88193272   4.44
16.87673467   33.68083872   28.34441139   5.91
15.07519084   32.55942258   29.95612691   9.33
17.11333360   36.89794873   35.05392794   10.55
22.53566181   31.61055259   28.54392156   15.36
21.55080360   31.78564148   33.38335409   5.59
19.30192484   34.42380708   27.17705852   8.27
21.66527734   32.49821613   33.17064017   4.55
19.47638372   35.51543063   27.65972971   8.68
17.97378663   29.93827701   27.13775990   39.27
22.07229474   37.53100916   29.88335304   6.03
18.82164285   37.55086571   34.38385867   6.68
22.01652211   32.95754994   25.70619968   11.61
18.61831995   32.01957010   27.81532609   7.82
20.10298069   33.52911584   38.67400805   7.53
